[0. 0. 0.]
[-2.22044605e-16 -5.55111512e-17 -2.22044605e-16]
[ 0.00000000e+00 -2.22044605e-16 -2.22044605e-16]
[ 5.55111512e-16 -6.10622664e-16 -2.22044605e-16]
[ 7.77156117e-16 -2.77555756e-16  2.22044605e-16]
[ 4.44089210e-16 -3.88578059e-16 -1.11022302e-16]
[ 3.33066907e-16 -7.21644966e-16 -1.11022302e-16]
[ 2.22044605e-16 -1.05471187e-15 -5.55111512e-16]
[ 7.77156117e-16 -6.10622664e-16 -3.33066907e-16]
[ 5.55111512e-16 -6.66133815e-16 -1.11022302e-16]
[ 3.33066907e-16 -5.55111512e-16 -1.11022302e-16]
[ 1.11022302e-16 -4.99600361e-16  6.66133815e-16]
[ 5.55111512e-16 -3.88578059e-16  7.77156117e-16]
[ 7.77156117e-16 -6.10622664e-16  4.44089210e-16]
[ 6.66133815e-16 -6.10622664e-16  6.66133815e-16]
[ 6.66133815e-16 -6.66133815e-16  5.55111512e-16]
[ 4.44089210e-16 -7.77156117e-16  5.55111512e-16]
[ 5.55111512e-16 -5.55111512e-16  7.77156117e-16]
[ 4.44089210e-16 -6.10622664e-16  3.33066907e-16]
[ 5.55111512e-16 -1.66533454e-16  2.22044605e-16]
[ 2.22044605e-16 -2.77555756e-16  5.55111512e-16]
[ 4.44089210e-16 -2.22044605e-16  3.33066907e-16]
[5.55111512e-16 5.55111512e-17 6.66133815e-16]
[ 7.77156117e-16 -5.55111512e-17  8.88178420e-16]
