[ 9.3107553  5.9090448 -0.8287016]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
[ 9.3107561   5.90904463 -0.82870165]
